N C0 E:10 W:8 R:10
N C1 E:5 W:3 R:1
N C2 E:7 W:0 R:6
N C3 E:0 W:6 R:0
N C4 E:3 W:7 R:1
N C5 E:5 W:1 R:4
N C6 E:2 W:7 R:8
N C7 E:9 W:0 R:1
N C8 E:7 W:1 R:0
N C9 E:2 W:8 R:6
H H0 E:7 W:6 R:0 N5>N2>N7
H H1 E:2 W:9 R:1 N4>N6>N9
H H2 E:0 W:0 R:8 N4>N3>N1
H H3 E:4 W:1 R:9 N0>N5>N9
H H4 E:6 W:9 R:8 N5>N3>N4
H H5 E:3 W:8 R:8 N8>N5>N7
H H6 E:10 W:10 R:1 N0>N1>N3
H H7 E:5 W:4 R:10 N4>N0>N7
H H8 E:0 W:8 R:10 N6>N9>N8
H H9 E:3 W:2 R:10 N1>N1>N0
H H10 E:7 W:1 R:6 N9>N4>N3
H H11 E:3 W:1 R:1 N8>N6>N0
H H12 E:8 W:8 R:4 N8>N7>N5
H H13 E:3 W:4 R:1 N1>N2>N4
H H14 E:7 W:4 R:2 N3>N8>N2
H H15 E:2 W:1 R:7 N5>N8>N6
H H16 E:6 W:9 R:5 N7>N8>N7
H H17 E:8 W:8 R:2 N0>N4>N6
H H18 E:1 W:6 R:10 N3>N8>N4
H H19 E:0 W:6 R:10 N5>N4>N3
H H20 E:8 W:5 R:7 N8>N2>N8
H H21 E:3 W:6 R:9 N6>N0>N1
H H22 E:9 W:1 R:3 N2>N3>N7
H H23 E:5 W:5 R:10 N9>N5>N2
H H24 E:7 W:9 R:9 N7>N0>N3
H H25 E:6 W:6 R:9 N5>N0>N5
H H26 E:7 W:1 R:1 N6>N7>N0
H H27 E:10 W:9 R:8 N5>N8>N0
H H28 E:3 W:8 R:4 N5>N6>N1
H H29 E:10 W:1 R:3 N5>N1>N8
H H30 E:2 W:10 R:7 N9>N0>N9
H H31 E:8 W:3 R:5 N3>N7>N1
H H32 E:2 W:1 R:1 N1>N5>N7
H H33 E:6 W:6 R:5 N1>N9>N0
H H34 E:8 W:6 R:5 N2>N6>N1
H H35 E:2 W:2 R:9 N0>N0>N0
H H36 E:6 W:4 R:2 N7>N2>N8
H H37 E:8 W:10 R:10 N3>N4>N6
H H38 E:8 W:3 R:1 N9>N9>N1
H H39 E:1 W:0 R:5 N6>N4>N4
H H40 E:7 W:9 R:4 N5>N5>N5
H H41 E:10 W:0 R:5 N3>N3>N1
H H42 E:1 W:6 R:4 N1>N5>N9
H H43 E:8 W:6 R:10 N9>N5>N3
H H44 E:3 W:4 R:1 N9>N8>N9
H H45 E:3 W:0 R:6 N3>N5>N5
H H46 E:1 W:1 R:1 N2>N8>N3
H H47 E:6 W:10 R:0 N6>N6>N1
H H48 E:2 W:0 R:8 N6>N5>N1
H H49 E:6 W:6 R:10 N9>N4>N5
H H50 E:8 W:6 R:8 N9>N8>N1
H H51 E:3 W:0 R:6 N2>N0>N4
H H52 E:10 W:1 R:0 N0>N9>N2
H H53 E:1 W:10 R:4 N4>N6>N0
H H54 E:0 W:8 R:4 N1>N9>N8
H H55 E:3 W:7 R:2 N6>N7>N3
H H56 E:2 W:5 R:10 N9>N4>N5
H H57 E:10 W:6 R:8 N9>N9>N4
H H58 E:4 W:9 R:7 N1>N4>N6
H H59 E:7 W:10 R:5 N4>N8>N9
