N0: H502(260) H4681(176) H511(150) H6279(138) H3131(120) H2871(120)
N1: H4319(44) H7699(29) H11680(20) H5649(12) H3329(12) H5523(10)
N2: H9308(109) H10739(80) H10137(76) H11892(62) H3167(56) H2883(48)
N3: H982(60) H10108(36) H10271(30) H7989(24) H1322(6) H8033(6)
N4: H1630(79) H2627(73) H3545(68) H3798(65) H7197(49) H1036(46)
N5: H7719(73) H7006(72) H9762(57) H7785(54) H8217(44) H7819(41)
N6: H3133(151) H3341(112) H7187(108) H10560(83) H2278(82) H1963(40)
N7: H8498(54) H8519(46) H6950(42) H3773(31) H8746(27) H3260(19)
N8: H6513(72) H2280(71) H943(68) H4448(29) H11401(26) H1397(25)
N9: H7496(124) H3191(100) H3254(66) H6057(64) H3114(58) H4402(54)
N10: H9194(122) H11245(122) H8598(60) H6808(46) H7701(22) H8427(20)
N11: H1201(96) H9675(94) H4748(84) H1381(64) H6955(64) H7561(64)
N12: H4614(56) H4995(40) H6631(39) H4039(35) H9202(34) H8442(31)
N13: H9955(121) H6545(114) H655(110) H1975(110) H7568(109) H7281(94)
N14: H10499(76) H310(75) H9497(71) H3838(69) H3849(67) H8735(60)
N15: H7713(142) H11582(123) H11907(122) H5094(104) H6192(98) H2745(91)
N16: H5700(170) H8604(166) H7454(162) H3495(156) H4397(142) H5852(123)
N17: H8881(115) H5467(91) H11110(65) H2366(60) H6543(59) H2619(56)
N18: H5708(48) H996(45) H11967(42) H1479(39) H2840(33) H4872(27)
N19: H9043(96) H11733(91) H874(71) H3014(71) H7789(64) H6807(52)
N20: H2764(98) H11212(82) H4067(72) H7284(64) H6820(64) H5478(50)
N21: H9662(143) H4552(118) H10483(103) H7449(101) H8193(88) H8118(87)
N22: H2146(136) H4000(92) H7411(92) H3701(74) H4375(58) H9348(56)
N23: H11329(164) H11596(115) H10581(81) H2017(78) H10921(58) H8889(57)
N24: H9169(205) H11638(165) H7238(137) H3820(135) H10270(135) H4088(120)
N25: H10188(206) H8439(186) H7414(152) H4307(110) H10233(105) H11973(98)
N26: H2443(196) H5291(154) H10269(103) H11358(102) H2480(97) H907(85)
N27: H3966(160) H8707(96) H2477(77) H10727(68) H9982(32) H998(32)
N28: H11934(167) H694(165) H8548(137) H10891(130) H8054(116) H4012(110)
N29: H11565(87) H5534(80) H6675(70) H9922(70) H4053(68) H3415(63)
N30: H9743(93) H9243(92) H2155(90) H7877(55) H818(53) H2736(50)
N31: H9110(124) H5142(118) H1175(98) H5032(98) H92(84) H3990(84)
N32: H2826(95) H7721(87) H8052(81) H1415(46) H2950(32) H371(32)
N33: H3076(58) H10056(49) H1745(48) H8671(45) H6449(41) H5429(31)
N34: H3912(132) H2606(96) H817(94) H6472(82) H648(73) H11436(62)
N35: H11765(79) H7958(52) H6127(49) H2456(44) H10738(44) H11431(21)
N36: H9203(183) H1825(162) H6973(159) H7107(158) H3596(138) H295(123)
N37: H980(84) H2640(76) H9535(68) H4812(44) H10024(36) H4275(32)
N38: H1108(106) H10595(106) H4018(96) H5076(36) H5931(36) H113(36)
N39: H8341(105) H9567(105) H871(91) H3703(89) H4479(66) H11463(38)
N40: H740(129) H2714(82) H1432(68) H1530(67) H733(66) H5543(64)
N41: H2928(97) H7126(78) H154(72) H6321(64) H3679(48) H540(44)
N42: H3781(118) H7451(118) H9149(92) H1600(86) H3959(80) H2658(70)
N43: H2577(101) H5861(78) H6354(77) H6166(49) H9775(46) H6782(40)
N44: H3939(115) H11467(112) H1903(98) H8578(88) H10209(80) H9207(68)
N45: H5795(178) H10865(139) H1607(130) H11551(116) H6611(105) H10784(63)
N46: H7296(90) H1406(85) H805(72) H5692(59) H8203(46) H1893(46)
N47: H7736(68) H2365(46) H394(43) H8850(33) H8625(23) H3213(21)
N48: H10945(105) H9760(73) H5516(65) H11692(60) H10006(18) H11523(11)
N49: H11634(84) H8779(79) H1216(77) H11801(65) H4187(42) H9233(40)
N50: H3056(99) H856(67) H7211(64) H2662(40) H1323(27) H1505(25)
N51: H2261(99) H11930(72) H9542(56) H11340(52) H7351(52) H5877(43)
N52: H6752(110) H5406(101) H2921(79) H3664(76) H9591(69) H1205(33)
N53: H3866(252) H5747(194) H505(190) H2520(188) H1348(184) H2048(166)
N54: H2162(112) H3130(108) H58(102) H8862(102) H4273(96) H7227(82)
N55: H7737(51) H9610(47) H1380(44) H11555(38) H8099(36) H3267(26)
N56: H7659(64) H9462(54) H2973(46) H11357(40) H9849(38) H264(30)
N57: H1351(107) H3634(102) H8772(99) H2708(91) H331(67) H11153(67)
